id,Zone,Element,Unit,Value
WSM,Samoa,Import Value,1000 US$,17735
WSM,Samoa,Export Quantity,tonnes,8
WSM,Samoa,Export Value,1000 US$,24
STP,Sao Tome and Principe,Import Quantity,tonnes,1860
STP,Sao Tome and Principe,Import Value,1000 US$,2379
SAU,Saudi Arabia,Import Quantity,tonnes,730960
SAU,Saudi Arabia,Import Value,1000 US$,1232031
SAU,Saudi Arabia,Export Quantity,tonnes,37415
SAU,Saudi Arabia,Export Value,1000 US$,145532
SEN,Senegal,Import Quantity,tonnes,9
SEN,Senegal,Import Value,1000 US$,48
SRB,Serbia,Import Quantity,tonnes,7182
SRB,Serbia,Import Value,1000 US$,6503
SRB,Serbia,Export Quantity,tonnes,5735
SRB,Serbia,Export Value,1000 US$,9527
SYC,Seychelles,Import Quantity,tonnes,3124
SYC,Seychelles,Import Value,1000 US$,4729
SLE,Sierra Leone,Import Quantity,tonnes,13070
SLE,Sierra Leone,Import Value,1000 US$,13125
SLE,Sierra Leone,Export Quantity,tonnes,27
SLE,Sierra Leone,Export Value,1000 US$,20
SGP,Singapore,Import Quantity,tonnes,122430
SGP,Singapore,Import Value,1000 US$,226040
SGP,Singapore,Export Quantity,tonnes,17834
SGP,Singapore,Export Value,1000 US$,23508
SVK,Slovakia,Import Quantity,tonnes,48808
SVK,Slovakia,Import Value,1000 US$,88275
SVK,Slovakia,Export Quantity,tonnes,19032
SVK,Slovakia,Export Value,1000 US$,40542
SVN,Slovenia,Import Quantity,tonnes,11272
SVN,Slovenia,Import Value,1000 US$,26508
SVN,Slovenia,Export Quantity,tonnes,17797
SVN,Slovenia,Export Value,1000 US$,45495
SLB,Solomon Islands,Import Quantity,tonnes,3028
SLB,Solomon Islands,Import Value,1000 US$,7078
SOM,Somalia,Import Quantity,tonnes,2085
SOM,Somalia,Import Value,1000 US$,2855
ZAF,South Africa,Import Quantity,tonnes,480346
ZAF,South Africa,Import Value,1000 US$,410502
ZAF,South Africa,Export Quantity,tonnes,58259
ZAF,South Africa,Export Value,1000 US$,87683
SSD,South Sudan,Import Quantity,tonnes,789
SSD,South Sudan,Import Value,1000 US$,1331
ESP,Spain,Import Quantity,tonnes,129773
ESP,Spain,Import Value,1000 US$,254612
ESP,Spain,Export Quantity,tonnes,145789
ESP,Spain,Export Value,1000 US$,240717
LKA,Sri Lanka,Import Quantity,tonnes,210
LKA,Sri Lanka,Import Value,1000 US$,631
LKA,Sri Lanka,Export Quantity,tonnes,2010
LKA,Sri Lanka,Export Value,1000 US$,863
SDN,Sudan,Import Quantity,tonnes,710
SDN,Sudan,Import Value,1000 US$,1142
SDN,Sudan,Export Quantity,tonnes,
SDN,Sudan,Export Value,1000 US$,
SUR,Suriname,Import Quantity,tonnes,17707
SUR,Suriname,Import Value,1000 US$,14952
SUR,Suriname,Export Quantity,tonnes,4644
